control_dgp,tau_shape,n_per_arm,lambda,rank,crit_wald,power_wald,crit_tmax,power_tmax,power_rw_any
phase1_empirical,pilot_proportional,3050,48.05819983498563,6,12.591587243743978,0.9999484709285212,2.5761263827670615,0.9999,1
phase1_empirical,pilot_proportional,3100,48.846039176542796,6,12.591587243743978,0.9999588491571146,2.5761263827670615,0.99985,0.9998
phase1_empirical,pilot_proportional,3150,49.63387851809991,6,12.591587243743978,0.9999671725348896,2.5761263827670615,0.99995,1
phase1_empirical,pilot_proportional,3200,50.42171785965709,6,12.591587243743978,0.9999738400322838,2.5761263827670615,1,0.9998
phase1_empirical,pilot_proportional,3250,51.20955720121422,6,12.591587243743978,0.9999791749016804,2.5761263827670615,0.99995,1
phase1_empirical,pilot_proportional,3300,51.99739654277133,6,12.591587243743978,0.9999834386626757,2.5761263827670615,0.9999,1
phase1_empirical,pilot_proportional,3350,52.78523588432847,6,12.591587243743978,0.9999868425886577,2.5761263827670615,0.9999,0.9998
phase1_empirical,pilot_proportional,3400,53.573075225885646,6,12.591587243743978,0.9999895571226545,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3450,54.360914567442784,6,12.591587243743978,0.9999917195811608,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3500,55.14875390899991,6,12.591587243743978,0.9999934404457049,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3550,55.936593250557,6,12.591587243743978,0.999994808491967,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3600,56.72443259211415,6,12.591587243743978,0.999995894964063,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3650,57.51227193367135,6,12.591587243743978,0.9999967569661083,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3700,58.30011127522849,6,12.591587243743978,0.9999974402133912,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3750,59.087950616785626,6,12.591587243743978,0.9999979812605869,2.5761263827670615,0.99995,1
phase1_empirical,pilot_proportional,3800,59.87578995834277,6,12.591587243743978,0.9999984093036792,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3850,60.663629299899924,6,12.591587243743978,0.9999987476349955,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3900,61.45146864145704,6,12.591587243743978,0.9999990148164484,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,3950,62.239307983014186,6,12.591587243743978,0.9999992256242363,2.5761263827670615,1,1
phase1_empirical,pilot_proportional,4000,63.027147324571374,6,12.591587243743978,0.9999993918084862,2.5761263827670615,1,1
uniform_K4,diffuse_PL,100,0.6480011028445876,6,12.591587243743978,0.07708305715768127,2.608359135436855,0.08655,0.0856
uniform_K4,diffuse_PL,150,0.9720016542668811,6,12.591587243743978,0.09220602280540913,2.608359135436855,0.1029,0.0994
uniform_K4,diffuse_PL,200,1.2960022056891751,6,12.591587243743978,0.10829270242603972,2.608359135436855,0.12325,0.1172
uniform_K4,diffuse_PL,250,1.6200027571114688,6,12.591587243743978,0.12526976747645735,2.608359135436855,0.14385,0.1412
uniform_K4,diffuse_PL,300,1.9440033085337622,6,12.591587243743978,0.143060839794933,2.608359135436855,0.16315,0.159
uniform_K4,diffuse_PL,350,2.268003859956057,6,12.591587243743978,0.1615874601553754,2.608359135436855,0.18685,0.1802
uniform_K4,diffuse_PL,400,2.5920044113783502,6,12.591587243743978,0.18076997874103928,2.608359135436855,0.2104,0.205
uniform_K4,diffuse_PL,450,2.9160049628006433,6,12.591587243743978,0.20052836618985825,2.608359135436855,0.2299,0.2212
uniform_K4,diffuse_PL,500,3.2400055142229376,6,12.591587243743978,0.22078294511039176,2.608359135436855,0.256,0.2512
uniform_K4,diffuse_PL,550,3.564006065645232,6,12.591587243743978,0.24145504302706156,2.608359135436855,0.27505,0.269
uniform_K4,diffuse_PL,600,3.8880066170675245,6,12.591587243743978,0.262467568600402,2.608359135436855,0.2981,0.289
uniform_K4,diffuse_PL,650,4.212007168489819,6,12.591587243743978,0.28374551369717627,2.608359135436855,0.31955,0.3094
uniform_K4,diffuse_PL,700,4.536007719912114,6,12.591587243743978,0.3052163844710738,2.608359135436855,0.34835,0.3394
uniform_K4,diffuse_PL,750,4.860008271334405,6,12.591587243743978,0.3268105650715869,2.608359135436855,0.37035,0.3494
uniform_K4,diffuse_PL,800,5.1840088227567005,6,12.591587243743978,0.3484616179404676,2.608359135436855,0.3857,0.368
uniform_K4,diffuse_PL,850,5.508009374178993,6,12.591587243743978,0.37010652489515583,2.608359135436855,0.4182,0.407
uniform_K4,diffuse_PL,900,5.8320099256012865,6,12.591587243743978,0.39168587334925753,2.608359135436855,0.4372,0.4354
uniform_K4,diffuse_PL,950,6.156010477023581,6,12.591587243743978,0.4131439920933675,2.608359135436855,0.4563,0.4504
uniform_K4,diffuse_PL,1000,6.480011028445875,6,12.591587243743978,0.434429041066248,2.608359135436855,0.47635,0.4804
uniform_K4,diffuse_PL,1050,6.804011579868169,6,12.591587243743978,0.45549305949665675,2.608359135436855,0.50395,0.488
uniform_K4,diffuse_PL,1100,7.128012131290464,6,12.591587243743978,0.4762919766993511,2.608359135436855,0.52115,0.5054
uniform_K4,diffuse_PL,1150,7.452012682712754,6,12.591587243743978,0.496785589673289,2.608359135436855,0.54,0.526
uniform_K4,diffuse_PL,1200,7.776013234135049,6,12.591587243743978,0.5169375114835653,2.608359135436855,0.56165,0.5552
uniform_K4,diffuse_PL,1250,8.100013785557344,6,12.591587243743978,0.5367150942178236,2.608359135436855,0.5865,0.5624
uniform_K4,diffuse_PL,1300,8.424014336979639,6,12.591587243743978,0.556089330099017,2.608359135436855,0.6035,0.5802
uniform_K4,diffuse_PL,1350,8.748014888401931,6,12.591587243743978,0.5750347341146136,2.608359135436855,0.61515,0.6058
uniform_K4,diffuse_PL,1400,9.072015439824227,6,12.591587243743978,0.5935292112925115,2.608359135436855,0.64005,0.6356
uniform_K4,diffuse_PL,1450,9.396015991246525,6,12.591587243743978,0.6115539115199187,2.608359135436855,0.65185,0.6434
uniform_K4,diffuse_PL,1500,9.72001654266881,6,12.591587243743978,0.6290930745668968,2.608359135436855,0.669,0.6558
uniform_K4,diffuse_PL,1550,10.044017094091112,6,12.591587243743978,0.6461338677439384,2.608359135436855,0.6775,0.6604
uniform_K4,diffuse_PL,1600,10.368017645513401,6,12.591587243743978,0.6626662183954242,2.608359135436855,0.70075,0.6832
