synthetic_group_id,sampled_from_unique_group,group_members,phase,condorcet_exists,condorcet_winner,group_outcome_rule,group_outcome,outcome_matches_condorcet
70,70,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,f302a80daf1f",before,TRUE,community_clinic,plurality,community_clinic,TRUE
70,70,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,116a3ebe9814,f302a80daf1f",after,TRUE,community_clinic,plurality,community_clinic,TRUE
71,71,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,8d4b92f5ba5d",before,TRUE,food_pantry,plurality,NA,FALSE
71,71,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
72,72,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,60d929ceffa5",before,TRUE,food_pantry,plurality,NA,FALSE
72,72,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,60d929ceffa5",after,TRUE,community_clinic,plurality,NA,FALSE
73,73,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,84b4783bae78",before,TRUE,food_pantry,plurality,NA,FALSE
73,73,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,84b4783bae78",after,TRUE,community_clinic,plurality,NA,FALSE
74,74,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,455dbb067ce7",before,TRUE,food_pantry,plurality,NA,FALSE
74,74,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,455dbb067ce7",after,TRUE,community_clinic,plurality,NA,FALSE
75,75,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
75,75,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
76,76,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,f302a80daf1f",before,TRUE,food_pantry,plurality,NA,FALSE
76,76,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ec338cde8cdc,f302a80daf1f",after,TRUE,community_clinic,plurality,NA,FALSE
77,77,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,60d929ceffa5",before,TRUE,food_pantry,plurality,NA,FALSE
77,77,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,60d929ceffa5",after,TRUE,community_clinic,plurality,community_clinic,TRUE
78,78,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,84b4783bae78",before,TRUE,food_pantry,plurality,NA,FALSE
78,78,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,84b4783bae78",after,TRUE,community_clinic,plurality,community_clinic,TRUE
79,79,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,455dbb067ce7",before,TRUE,food_pantry,plurality,NA,FALSE
79,79,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,455dbb067ce7",after,TRUE,community_clinic,plurality,community_clinic,TRUE
80,80,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
80,80,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
81,81,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,f302a80daf1f",before,TRUE,food_pantry,plurality,NA,FALSE
81,81,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,8d4b92f5ba5d,f302a80daf1f",after,TRUE,community_clinic,plurality,community_clinic,TRUE
82,82,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,60d929ceffa5,84b4783bae78",before,TRUE,food_pantry,plurality,food_pantry,TRUE
